ano,time,competidor,reserva,classificado,posicao,medalha,universidade,estado,regiao
2011,comp-ele error,diogo holanda,0,1,2,gold,ITA,SP,Sudeste
2011,comp-ele error,,0,1,2,gold,ITA,SP,Sudeste
2011,modus ponens malditos,diogo silva,0,1,3,gold,UFCG,PB,Nordeste
2011,modus ponens malditos,felipe abella,0,1,3,gold,UFCG,PB,Nordeste
2011,modus ponens malditos,phyllipe medeiros,0,1,3,gold,UFCG,PB,Nordeste
2011,modus ponens malditos,,0,1,3,gold,UFCG,PB,Nordeste
2011,* da trypanossoma,ricardo oliveira,0,1,4,silver,UFPR,PR,Sul
2011,* da trypanossoma,flavio h de bittencourt zavan,0,1,4,silver,UFPR,PR,Sul
2011,* da trypanossoma,vinicius k ruoso,0,1,4,silver,UFPR,PR,Sul
2011,* da trypanossoma,,0,1,4,silver,UFPR,PR,Sul
2011,double cheeseburger,leonardo inacio lima de oliveira,0,1,5,silver,UFRJ,RJ,Sudeste
2011,double cheeseburger,pedro veras bezerra da silva,0,1,5,silver,UFRJ,RJ,Sudeste
2011,double cheeseburger,mauricio collares neto,0,1,5,silver,UFRJ,RJ,Sudeste
2011,double cheeseburger,,0,1,5,silver,UFRJ,RJ,Sudeste
2011,inkognita,felipe freitas,0,0,6,silver,ITA,SP,Sudeste
2011,inkognita,luca moller,0,0,6,silver,ITA,SP,Sudeste
2011,inkognita,walter filho,0,0,6,silver,ITA,SP,Sudeste
2011,inkognita,,0,0,6,silver,ITA,SP,Sudeste
2011,"fulano, beltrano e sicrano",israel silva,0,0,7,bronze,UFPE,PE,Nordeste
2011,"fulano, beltrano e sicrano",pedro silvestre,0,0,7,bronze,UFPE,PE,Nordeste
2011,"fulano, beltrano e sicrano",marcio filho,0,0,7,bronze,UFPE,PE,Nordeste
2011,"fulano, beltrano e sicrano",,0,0,7,bronze,UFPE,PE,Nordeste
2011,up,leonardo marchetti,0,1,8,bronze,IME-USP,SP,Sudeste
2011,up,cesar gamboa machado,0,1,8,bronze,IME-USP,SP,Sudeste
2011,up,lucas piva rocha correa,0,1,8,bronze,IME-USP,SP,Sudeste
2011,up,,0,1,8,bronze,IME-USP,SP,Sudeste
2011,gcv,cristiano medeiros dalbem,0,0,9,bronze,UFRGS,RS,Sul
2011,gcv,gabriel marques portal,0,0,9,bronze,UFRGS,RS,Sul
2011,gcv,bruno fiss,0,0,9,bronze,UFRGS,RS,Sul
2011,gcv,,0,0,9,bronze,UFRGS,RS,Sul
2011,unicamp alfa,marcelo galvão povoa,0,0,10,bronze,UNICAMP,SP,Sudeste
2011,unicamp alfa,douglas oliveira santos,0,0,10,bronze,UNICAMP,SP,Sudeste
2011,unicamp alfa,bruno espinosa crespaldi,0,0,10,bronze,UNICAMP,SP,Sudeste
2011,unicamp alfa,,0,0,10,bronze,UNICAMP,SP,Sudeste
2010,razão cruzada,filipe melo,0,1,1,gold,UFPE,PE,Nordeste
2010,razão cruzada,pablo carvalho pinheiro,0,1,1,gold,UFPE,PE,Nordeste
2010,razão cruzada,luiz silva,0,1,1,gold,UFPE,PE,Nordeste
2010,razão cruzada,,0,1,1,gold,UFPE,PE,Nordeste
2010,carteado,daniel moreira,0,1,2,gold,ITA,SP,Sudeste
2010,carteado,cesar kawakami,0,1,2,gold,ITA,SP,Sudeste
2010,carteado,guilherme souza,0,1,2,gold,ITA,SP,Sudeste
2010,carteado,,0,1,2,gold,ITA,SP,Sudeste
2010,eita!,luca moller,0,0,3,gold,ITA,SP,Sudeste
