0,1,2,3,4,5,6,7,8,9
#,Site,User,Time,Problem,Language,Filename,Status,Judge (Site),Answer
194,1,Knights of The Round Robin,78,I,C++,I.cpp,judged,juiz6 (1),NO - Wrong answer
195,1,Grupo Gama,78,I,C,I.c,judged,juiz3 (1),NO - Wrong answer
196,1,a; DROP TABLEuser; --,78,I,C++,I.cpp,judged,juiz3 (1),NO - Time limit exceeded
197,1,Thundercats,78,H,C++,hours.cpp,judged,juiz2 (1),YES
198,1,Coração das Cartas,78,A,C++,A.cpp,judged,juiz2 (1),NO - Wrong answer
199,1,Stalingrafo,80,I,C++,I.cpp,judged,juiz3 (1),YES
200,1,a; DROP TABLEuser; --,81,I,C++,I.cpp,judged,juiz3 (1),NO - Time limit exceeded
201,1,Grupo Gama,81,I,C,I-3.c,judged,juiz5 (1),NO - Wrong answer
202,1,Y U no accept?,82,H,C++,h.cpp,judged,juiz2 (1),YES
203,1,Coração das Cartas,82,C,C++,C.cpp,judged,juiz2 (1),YES
204,1,"ICompUFAM-""Computa agora""",82,I,C++,interval.cpp,judged,juiz2 (1),NO - Time limit exceeded
205,1,Grupo Gama,82,I,C,I.c,judged,juiz2 (1),NO - Wrong answer
206,1,using namespace none;,82,C,C++,C.cpp,judged,juiz3 (1),YES
207,1,Go Horse,83,I,Java,I.java,judged,juiz2 (1),NO - Time limit exceeded
208,1,Grupo Gama,84,I,C,I.c,judged,juiz3 (1),NO - Wrong answer
209,1,Berro Trypanossomático,85,G,C++,G.cpp,judged,juiz5 (1),NO - Time limit exceeded
210,1,sudo make a sandwich,85,I,C++,I.cpp,judged,juiz5 (1),NO - Time limit exceeded
211,1,Berro Trypanossomático,86,G,C++,G.cpp,judged,juiz3 (1),NO - Time limit exceeded
212,1,UFMG In rand() we trust!,87,C,C++,C.cpp,judged,juiz3 (1),YES
213,1,Os Cartolas,87,G,C++,g.cpp,judged,juiz3 (1),NO - Wrong answer
214,1,Berro Trypanossomático,88,C,C++,C.cpp,judged,juiz2 (1),NO - Runtime error
215,1,Timelhosa,90,C,C++,C.cpp,judged,juiz5 (1),YES
216,1,Untitled.c,90,I,C,I.c,judged,juiz2 (1),NO - Runtime error
217,1,Berro Trypanossomático,91,G,C++,G.cpp,judged,juiz2 (1),NO - Wrong answer
218,1,Dont Care,92,I,C++,I.cpp,judged,juiz3 (1),NO - Time limit exceeded
219,1,PhD na área;,92,C,C++,cm.cpp,judged,juiz4 (1),YES
220,1,MOJUCA,94,C,C++,C.cpp,judged,juiz2 (1),NO - Wrong answer
221,1,Os Cartolas,94,G,C++,g.cpp,judged,juiz4 (1),NO - Wrong answer
222,1,Grupo Gama,94,I,C,I.c,judged,juiz4 (1),NO - Wrong answer
223,1,Knights of The Round Robin,95,I,C++,I.cpp,judged,juiz3 (1),YES
224,1,PiratasDoValeDoSãoFrancisco,95,I,C++,i.cpp,judged,juiz2 (1),NO - Time limit exceeded
225,1,Berro Trypanossomático,95,C,C++,C.cpp,judged,juiz3 (1),NO - Runtime error
226,1,Go Horse,95,I,Java,I.java,judged,juiz3 (1),NO - Time limit exceeded
227,1,Os Cartolas,97,G,C++,g.cpp,judged,juiz2 (1),NO - Wrong answer
228,1,"jQuery bool, jQuery char!",97,E,C++,environment.cpp,judged,juiz4 (1),YES
229,1,PontoCPP,99,I,C++,i.cpp,judged,juiz2 (1),NO - Time limit exceeded
230,1,Dont Care,99,H,C++,H.cpp,judged,juiz3 (1),YES
231,1,sudo make a sandwich,100,I,C++,I.cpp,judged,juiz3 (1),YES
232,1,Absurdo Clássico - Agora Vai!,100,C,C++,C.cpp,judged,juiz2 (1),YES
233,1,MOJUCA,101,C,C++,C.cpp,judged,juiz2 (1),NO - Wrong answer
234,1,"ICompUFAM-""Computa agora""",101,H,C++,hours.cpp,judged,juiz6 (1),YES
