universidade,sigla,estado
FACULDADE REGIONAL DE ALAGOINHAS,FARAL,BA
FACULDADE REGIONAL PALMITOS,FAP,SC
FACULDADE REUNIDA,FAR,SP
FACULDADE RIO BRANCO,FARB,AC
FACULDADE RORAIMENSE DE ENSINO SUPERIOR,FARES,RR
FACULDADE RUY BARBOSA,FRB,BA
FACULDADE SABERES,SABERES,ES
FACULDADE SALESIANA DE SANTA TERESA,FSST,MS
FACULDADE SALESIANA DO NORDESTE,FASNE,PE
FACULDADE SALESIANA DOM BOSCO,FSDB,AM
FACULDADE SALESIANA MARIA AUXILIADORA,FSMA,RJ
FACULDADE SANT'ANA,IESSA,PR
FACULDADE SANTA AMÉLIA,SECAL,PR
FACULDADE SANTA CATARINA,FASC,PE
FACULDADE SANTA CRUZ,FACRUZ,PE
FACULDADE SANTA EMÍLIA DE RODAT,FASER,PB
FACULDADE SANTA FÉ,CESSF,MA
FACULDADE SANTA HELENA,FASH,PE
FACULDADE SANTA IZILDINHA,FIESI,SP
FACULDADE SANTA LÚCIA,FCACSL,SP
FACULDADE SANTA MARCELINA,FASM,SP
FACULDADE SANTA MARIA,FSM,PE
FACULDADE SANTA RITA DE CÁSSIA,UNIFASC,GO
FACULDADE SANTA RITA,FASAR,SP
FACULDADE SANTA TEREZINHA,CEST,MA
FACULDADE SANTA TEREZINHA,FEST,MA
FACULDADE SANTO AGOSTINHO,FSA,PI
FACULDADE SANTO ANTONIO,FSA,BA
FACULDADE SANTO ANTÔNIO DE PÁDUA,FASAP,RJ
FACULDADE SANTO AUGUSTO,FAISA,RS
FACULDADE SANT´ANNA DE SALTO,FASAS,SP
FACULDADE SANTÍSSIMO SACRAMENTO,FSSS,BA
FACULDADE SATC,FASATC,SC
FACULDADE SEAMA,SEAMA,AP
FACULDADE SENAC MINAS,FSM,MG
FACULDADE SENAC PERNAMBUCO,SENAC,PE
FACULDADE SENAC PORTO ALEGRE - FSPOA,SENAC/RS,RS
FACULDADE SENAI-CETIQT,SENAI-CETIQT,RJ
FACULDADE SERGIPANA,FASER,SE
FACULDADE SERIGY,FASERGY,SE
FACULDADE SERRA DO CARMO,FASEC,TO
FACULDADE SERRANA,FASEP,DF
FACULDADE SINERGIA,SINERGIA,SC
FACULDADE SINOP,FASIP,MT
FACULDADE SOCIAL DA BAHIA,FSBA,BA
FACULDADE SOCIESC DE CURITIBA,SOCIESC,PR
FACULDADE SOCIESC,UNICA,SC
FACULDADE SUDAMÉRICA,SUDAMÉRICA,MG
FACULDADE SUDOESTE PAULISTA,FSP,SP
FACULDADE SUL BRASIL,FASUL,PR
FACULDADE SUL FLUMINENSE,FASF,RJ
FACULDADE SULAMERICANA,FASAM,GO
FACULDADE SUMARÉ,ISES,SP
FACULDADE SÃO BENTO DA BAHIA,FSBB,BA
FACULDADE SÃO CAMILO,FSC SALVADOR,BA
FACULDADE SÃO FRANCISCO DA PARAÍBA,FASP,PB
FACULDADE SÃO FRANCISCO DE ASSIS,UNIFIN,RS
FACULDADE SÃO FRANCISCO DE BARREIRAS - FASB,FASB,BA
FACULDADE SÃO FRANCISCO DE PIUMHI,FASPI,MG
FACULDADE SÃO GABRIEL,FSG,PI
FACULDADE SÃO GERALDO,FSG,ES
FACULDADE SÃO JOSÉ,FSJ,RJ
FACULDADE SÃO JUDAS TADEU,FSJT,RJ
FACULDADE SÃO LUCAS,FSL,RO
FACULDADE SÃO LUIS DE FRANÇA,FSLF,SE
FACULDADE SÃO LUÍS,FSL,MA
FACULDADE SÃO MARCOS,FASAMAR,TO
FACULDADE SÃO MIGUEL,FSM,PE
FACULDADE SÃO SALVADOR,FSSAL ,BA
FACULDADE SÃO SEBASTIÃO,FASS,SP
FACULDADE SÃO TOMAZ DE AQUINO,FSTA,BA
FACULDADE TAMANDARÉ,FAT,GO
FACULDADE TECSOMA,FATEC,MG
FACULDADE TIJUCUSSU,TIJUCUSSU,SP
FACULDADE TOBIAS BARRETO,FTB,SE
FACULDADE TRIÂNGULO MINEIRO,FTM,MG
FACULDADE TRÊS DE MAIO,SETREM,RS
FACULDADE TRÊS PONTAS,FATEP,MG
FACULDADE TÁHIRIH,FT,AM
FACULDADE UBAENSE OZANAM COELHO,FAGOC,MG
FACULDADE UBERLANDENSE DE NÚCLEOS INTEGRADOS DE ENSINO SERVIÇO SOCIAL E APRENDIZAGEM,FAESSA,MG
FACULDADE UBS,FACULDADE UBS,SP
FACULDADE UNA DE CONTAGEM,FUNAC,MG
FACULDADE UNIDA DE CAMPINAS,FACUNICAMPS,GO
FACULDADE UNIDA DE SUZANO,UNISUZ,SP
FACULDADE UNIGRAN CAPITAL,UNIGRAN CAPITAL,MS
FACULDADE UNILAGOS,UNILAGOS,PR
FACULDADE UNIME DE CIÊNCIAS EXATAS E TECNOLÓGICAS,FCT,BA
FACULDADE UNIME DE CIÊNCIAS SOCIAIS,FCS,BA
FACULDADE UNISSA DE SARANDI,UNISSA,PR
FACULDADE UNIÃO ARARUAMA DE ENSINO S/S LTDA.,FAC-UNILAGOS,RJ
FACULDADE UNIÃO BANDEIRANTE,FUBSJ,SC
FACULDADE UNIÃO DE CAMPO MOURÃO,UNICAMPO,PR
FACULDADE UNIÃO DE GOYAZES,FUG,GO
FACULDADE VALE DO CRICARÉ,F.V.C.,ES
FACULDADE VALE DO GORUTUBA,FAVAG,MG
FACULDADE VALE DO JAGUARIBE,FVJ,CE
FACULDADE VALE DO SALGADO,FVS,CE
FACULDADE VASCO DA GAMA,FVG,BA
FACULDADE VENDA NOVA DO IMIGRANTE,FAVENI,ES
FACULDADE VICENTINA - FAVI,FAVI,PR
FACULDADE VICTOR HUGO,FVH,MG
FACULDADE VISCONDE DE CAIRÚ,FAVIV ,BA
FACULDADE VITORIANA DE TECNOLOGIA,FAVI,ES
FACULDADE VIZINHANÇA VALE DO IGUAÇU,VIZIVALI,PR
FACULDADE VÉRTICE,VÉRTICE,MG
FACULDADE XV DE AGOSTO,FAQ,SP
FACULDADE ZACARIAS DE GÓES,FAZAG,BA
FACULDADE ZUMBI DOS PALMARES,FAZP,SP
FACULDADE ÁREA 1,ÁREA 1,BA
FACULDADE ÚNICA DE IPATINGA,FUNIP,MG
FACULDADE ÚNICA DE TIMÓTEO,FUNIT,MG
FACULDADES ADAMANTINENSES INTEGRADAS,FAI,SP
FACULDADES ASSOCIADAS DE ARIQUEMES,FAAR,RO
FACULDADES ASSOCIADAS DE UBERABA,FAZU,MG
FACULDADES ATIBAIA,FAAT,SP
FACULDADES CATHEDRAL BARRA DO GARÇAS,CATHEDRAL,MT
FACULDADES CATHEDRAL,CATHEDRAL,RR
FACULDADES CEARENSES,Fac,CE
FACULDADES DA FUNDAÇÃO DE ENSINO DE MOCOCA,FAFEM,SP
FACULDADES DE CAMPINAS,FACAMP,SP
FACULDADES DE PINHAIS,FAPI,PR
FACULDADES DO CENTRO DO PARANÁ,UCP,PR
FACULDADES EST,EST,RS
FACULDADES FUTURÃO,CENTEFF,SC
FACULDADES INTEGRADAS ADVENTISTAS DE MINAS GERAIS,FADMINAS,MG
FACULDADES INTEGRADAS ANTÔNIO EUFRÁSIO DE TOLEDO DE PRESIDENTE PRUDENTE,FIAETPP,SP
FACULDADES INTEGRADAS APARÍCIO CARVALHO,FIMCA,RO
FACULDADES INTEGRADAS ASSOCIAÇÃO DE ENSINO DE SANTA CATARINA,FASSESC,SC
FACULDADES INTEGRADAS BARROS MELO,AESO,PE
FACULDADES INTEGRADAS CAMPO-GRANDENSES,FIC,RJ
FACULDADES INTEGRADAS CAMPOS SALLES,FICS,SP
FACULDADES INTEGRADAS CLARETIANAS,FIC,SP
FACULDADES INTEGRADAS CORAÇÃO DE JESUS,FAINC,SP
FACULDADES INTEGRADAS DA TERRA DE BRASÍLIA,FTB,DF
FACULDADES INTEGRADAS DA UNIÃO DE ENSINO SUPERIOR CERTO,UNICERTO,DF
FACULDADES INTEGRADAS DA UNIÃO EDUCACIONAL DO PLANALTO CENTRAL - FACIPLAC,FACIPLAC,DF
FACULDADES INTEGRADAS DA VITÓRIA DE SANTO ANTÃO,FAINTVISA,PE
FACULDADES INTEGRADAS DE ARIQUEMES,FIAR,RO
FACULDADES INTEGRADAS DE BOTUCATU,UNIFAC,SP
FACULDADES INTEGRADAS DE CACOAL,UNESC,RO
FACULDADES INTEGRADAS DE CARATINGA,FIC,MG
FACULDADES INTEGRADAS DE CIÊNCIAS HUMANAS SAÚDE E EDUCAÇÃO DE GUARULHOS,FG,SP
FACULDADES INTEGRADAS DE DIAMANTINO,FID,MT
FACULDADES INTEGRADAS DE FERNANDÓPOLIS,FIFE,SP
FACULDADES INTEGRADAS DE ITARARÉ,FAFIT-FACIC,SP
FACULDADES INTEGRADAS DE JACAREPAGUÁ,FIJ,RJ
FACULDADES INTEGRADAS DE NAVIRAÍ,FINAV,MS
FACULDADES INTEGRADAS DE OURINHOS,FIO,SP
FACULDADES INTEGRADAS DE PATOS,FIP,PB
FACULDADES INTEGRADAS DE RIBEIRÃO PIRES,FIRP,SP
FACULDADES INTEGRADAS DE RONDONÓPOLIS,FAIR,MT
FACULDADES INTEGRADAS DE SANTA FÉ DO SUL,FUNEC,SP
FACULDADES INTEGRADAS DE SÃO CARLOS,FADISC,SP
FACULDADES INTEGRADAS DE TANGARÁ DA SERRA,FITS,MT
FACULDADES INTEGRADAS DE TAQUARA,FACCAT,RS
FACULDADES INTEGRADAS DE TRÊS LAGOAS,AEMS,MS
FACULDADES INTEGRADAS DE VITÓRIA,FDV,ES
FACULDADES INTEGRADAS DE VÁRZEA GRANDE,FIAVEC,MT
FACULDADES INTEGRADAS DESEMBARGADOR SÁVIO BRANDÃO,FAUSB,MT
FACULDADES INTEGRADAS DO BRASIL,FACBRASIL,PR
FACULDADES INTEGRADAS DO EXTREMO SUL DA BAHIA,UNESULBAHIA,BA
FACULDADES INTEGRADAS DO OESTE DE MINAS,FADOM,MG
FACULDADES INTEGRADAS DO TAPAJÓS,FIT,PA
FACULDADES INTEGRADAS DO VALE DO RIBEIRA,FIVR,SP
FACULDADES INTEGRADAS DOM PEDRO II,DOMPEDRO,SP
FACULDADES INTEGRADAS DOS CAMPOS GERAIS,CESCAGE,PR
FACULDADES INTEGRADAS EINSTEIN DE LIMEIRA,FIEL,SP
FACULDADES INTEGRADAS ESPÍRITA,FIES,PR
FACULDADES INTEGRADAS ESPÍRITOSANTENSE,FAESA,ES
FACULDADES INTEGRADAS HÉLIO ALONSO,FACHA,RJ
FACULDADES INTEGRADAS INTERAMERICANAS,FAITER,SP
FACULDADES INTEGRADAS IPIRANGA,FAINTIPI,PA
FACULDADES INTEGRADAS IPITANGA,UNIBAHIA,BA
FACULDADES INTEGRADAS MARIA IMACULADA,FIMI,SP
FACULDADES INTEGRADAS MARIA THEREZA,FAMATH,RJ
FACULDADES INTEGRADAS MATO-GROSSENSES DE CIÊNCIAS SOCIAIS E HUMANAS,ICE,MT
FACULDADES INTEGRADAS OLGA METTIG,FAMETTIG,BA
FACULDADES INTEGRADAS PADRE ALBINO,FIPA,SP
FACULDADES INTEGRADAS PITÁGORAS,FIP-MOC,MG
FACULDADES INTEGRADAS REGIONAIS DE AVARÉ,FIRA,SP
FACULDADES INTEGRADAS RIO BRANCO,FIRB,SP
FACULDADES INTEGRADAS RIO BRANCO,FRB,SP
FACULDADES INTEGRADAS RUI BARBOSA,FIRB,SP
FACULDADES INTEGRADAS SANTA CRUZ DE CURITIBA,FARESC,PR
FACULDADES INTEGRADAS SOARES DE OLIVEIRA,FISO,SP
FACULDADES INTEGRADAS STELLA MARIS DE ANDRADINA,FISMA,SP
FACULDADES INTEGRADAS SÉVIGNÉ,FAE SÉVIGNÉ,RS
FACULDADES INTEGRADAS TERESA D´ÁVILA,FATEA,SP
FACULDADES INTEGRADAS URUBUPUNGÁ,FIU,SP
FACULDADES INTEGRADAS VIANNA JÚNIOR,FIVJ,MG
FACULDADES INTEGRADAS,UPIS,DF
FACULDADES ITECNE DE CASCAVEL,ITECNE,PR
FACULDADES MAGSUL,FAMAG,MS
FACULDADES MILTON CAMPOS,FMC,MG
FACULDADES NORDESTE,Fanor,CE
FACULDADES OSWALDO CRUZ,FOC,SP
FACULDADES PEQUENO PRÍNCIPE,FPP,PR
FACULDADES SANTO AGOSTINHO,FSA,MG
FACULDADES SPEI,FACSPEI,PR
FACULDADES UNIDAS DE PESQUISA CIÊNCIAS E SAÚDE LTDA,FAPEC,BA
FACULDADES UNIDAS DO NORTE DE MINAS,Funorte,RO
FACULDADES UNIDAS DO VALE DO ARAGUAIA,UNIVAR,MT
FACULDADES UNIFICADAS DE CATAGUASES,FUC,MG
FACULDADES UNIFICADAS DE FOZ DO IGUAÇU,UNIFOZ,PR
FACULDADES UNIFICADAS DE GUARAPARI,FUG,ES
FACULDADES UNIFICADAS DE IÚNA,FUI,ES
FACULDADES UNIFICADAS DE TEÓFILO OTONI,FUTO,MG
FACULDADES VALE DO CARANGOLA,FAVALEUEMG,MG
FAE CENTRO UNIVERSITÁRIO,FAE,PR
FAJOPA - FACULDADE JOÃO PAULO II,FAJOPA,SP
FEFISA - FACULDADES INTEGRADAS DE SANTO ANDRÉ,FEFISA,SP
FUNDAÇÃO ARMANDO ÁLVARES PENTEADO,FAAP,SP
FUNDAÇÃO ASSIS GURGACZ,FAG,PR
FUNDAÇÃO COMUNITÁRIA DE ENSINO SUPERIOR DE ITABIRA,FUNCESI,MG
FUNDAÇÃO CÁSPER LÍBERO,FCL,SP
FUNDAÇÃO DE ENSINO SUPERIOR DE CLEVELÂNDIA,FESC,PR
FUNDAÇÃO DE ENSINO SUPERIOR DE PASSOS,FESP,MG
FUNDAÇÃO EDUCACIONAL ARAÇATUBA,FEA,SP
FUNDAÇÃO EDUCACIONAL DE DIVINÓPOLIS,FUNEDI,MG
FUNDAÇÃO ESCOLA DE COMÉRCIO ÁLVARES PENTEADO,FECAP,SP
FUNDAÇÃO ESCOLA DE SOCIOLOGIA E POLÍTICA DE SÃO PAULO,FESPSP,SP
FUNDAÇÃO GETÚLIO VARGAS,FGV,RJ
FUNDAÇÃO GETÚLIO VARGAS,FGV,SP
FUNDAÇÃO INSTITUTO CAPIXABA DE PESQUISAS EM CONTABILIDADE ECONOMIA E FINANÇAS,FUCAPE,ES
FUNDAÇÃO INSTITUTO TECNOLÓGICO DE OSASCO,FITO,SP
FUNDAÇÃO JOÃO PINHEIRO,FJP,MG
FUNDAÇÃO MINEIRA DE EDUCAÇÃO E CULTURA,FUMEC,MG
FUNDAÇÃO TÉCNICO EDUCACIONAL SOUZA MARQUES,FTESM,RJ
FUNDAÇÃO UNIVERSIDADE DO TOCANTINS,UNITINS,TO
FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,BA
FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,PE
FUNDAÇÃO UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,SC
GRUPO EDUCACIONAL UNINTER,UNINTER,PR
INSTITUIÇÃO DE ENSINO SUPERIOR DO ACRE,Iesacre,AC
INSTITUIÇÃO DE ENSINO SÃO FRANCISCO,IESF,SP
INSTITUIÇÃO TOLEDO DE ENSINO,ITE,SP
INSTITUTO ADVENTISTA CRUZEIRO DO SUL,IACS,RS
INSTITUTO ADVENTISTA DE ENSINO DE SANTA CATARINA,IAESC,SC
INSTITUTO BAIANO DE ENSINO SUPERIOR,IBES,BA
INSTITUTO BELO HORIZONTE DE ENSINO SUPERIOR,IBHES,MG
INSTITUTO BRASILEIRO DE MERCADO DE CAPITAIS,IBMEC,RJ
INSTITUTO CAMILLO FILHO,ICF,PI
INSTITUTO CENECISTA DE ENSINO SUPERIOR DE SANTO ÂNGELO,IESA,RS
INSTITUTO CIENTÍFICO DE ENSINO SUPERIOR E PESQUISA,Unicesp,DF
INSTITUTO CUIABÁ DE ENSINO E CULTURA,ICEC,MT
INSTITUTO DE CIÊNCIAS BIOLÓGICAS,ICB,PE
INSTITUTO DE CIÊNCIAS DA SAÚDE,ICS,MG
INSTITUTO DE CIÊNCIAS EXATAS,UNEB,DF
INSTITUTO DE CIÊNCIAS JURÍDICAS E SOCIAIS PROFESSOR CAMILLO FILHO,ICF,PI
INSTITUTO DE CIÊNCIAS SOCIAIS APLICADAS,UNEB,DF
INSTITUTO DE CIÊNCIAS SOCIAIS E HUMANAS,ICSH,GO
INSTITUTO DE EDUCAÇÃO CENECISTA MARQUÊS DE HERVAL,MARQUÊS,RS
INSTITUTO DE EDUCAÇÃO E ENSINO SUPERIOR DE CAMPINAS,IESCAMP,SP
INSTITUTO DE EDUCAÇÃO SUPERIOR DA PARAÍBA,IESP,PB
INSTITUTO DE EDUCAÇÃO SUPERIOR DE BOITUVA,FIB,SP
INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA,IESB,DF
INSTITUTO DE EDUCAÇÃO SUPERIOR DE PATROCÍNIO,IESP,MG
INSTITUTO DE EDUCAÇÃO SUPERIOR RAIMUNDO SÁ,IESRSA,PI
INSTITUTO DE EDUCAÇÃO SUPERIOR UNYAHNA DE SALVADOR,IESUS,BA
INSTITUTO DE ENSINO E PESQUISA OBJETIVO,IEPO,TO
INSTITUTO DE ENSINO E PESQUISA,Insper,SP
INSTITUTO DE ENSINO SUPERIOR CENECISTA,INESC,MG
INSTITUTO DE ENSINO SUPERIOR DA FUPESP,IESF,SP
INSTITUTO DE ENSINO SUPERIOR DA GRANDE FLORIANÓPOLIS,IESGF,SC
INSTITUTO DE ENSINO SUPERIOR DE LONDRINA - INESUL,INESUL,PR
INSTITUTO DE ENSINO SUPERIOR DE OLINDA,IESO,PE
INSTITUTO DE ENSINO SUPERIOR DE PIEDADE,IESP,PE
INSTITUTO DE ENSINO SUPERIOR DE RIO VERDE,IESRIVER,GO
INSTITUTO DE ENSINO SUPERIOR DE RONDÔNIA,IESUR,RO
INSTITUTO DE ENSINO SUPERIOR DO RIO GRANDE DO NORTE,IESRN,RN
INSTITUTO DE ENSINO SUPERIOR DO SUL DO MARANHÃO,IESMA,MA
INSTITUTO DE ENSINO SUPERIOR E FORMAÇÃO AVANÇADA DE VITÓRIA,FAVI,ES
INSTITUTO DE ENSINO SUPERIOR FUCAPI,Cesf,AM
INSTITUTO DE ENSINO SUPERIOR INTEGRADO-IESI,FENORD,MG
INSTITUTO DE ENSINO SUPERIOR JOÃO ALFREDO DE ANDRADE,IJAA,MG
INSTITUTO DE ENSINO SUPERIOR PRESIDENTE TANCREDO NEVES,IPTAN,MG
INSTITUTO DE ENSINO SUPERIOR SANTO ANTÔNIO,INESA,SC
INSTITUTO DE ENSINOS SUPERIORES DA AMAZÔNIA,IESAM,PA
INSTITUTO DE FILOSOFIA E TEOLOGIA DE GOIÁS,IFITEG,GO
INSTITUTO DE MATEMATICA E ESTATISCICA,IME-USP,SP
INSTITUTO DE PÓSGRADUAÇÃO,IPOG,GO
INSTITUTO DE PÓSGRADUAÇÃO,IPOG,RN
INSTITUTO EDUCACIONAL DE CASTRO,INEC,PR
INSTITUTO EDUCACIONAL VITÓRIA,INEVI,PE
INSTITUTO FEDERAL BAIANO,IF Baiano,BA
INSTITUTO FEDERAL CATARINENSE,IFC,SC
INSTITUTO FEDERAL DA BAHIA,IFBA,BA
INSTITUTO FEDERAL DA PARAÍBA,IFPB,PB
INSTITUTO FEDERAL DE ALAGOAS,Ifal,AL
INSTITUTO FEDERAL DE BRASÍLIA,IFB,DF
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE SÃO PAULO,IFSP,SP
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS,IFNMG,MG
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE,IFSul,RS
INSTITUTO FEDERAL DE GOIÁS,IFG,GO
INSTITUTO FEDERAL DE MATO GROSSO DO SUL,IFMS,MS
INSTITUTO FEDERAL DE MINAS GERAIS,IFMG,MG
INSTITUTO FEDERAL DE PERNAMBUCO,IFPE,PE
INSTITUTO FEDERAL DE RONDÔNIA,IFRO,RO
INSTITUTO FEDERAL DE RORAIMA,IFRR,RR
INSTITUTO FEDERAL DE SANTA CATARINA,IFSC,SC
INSTITUTO FEDERAL DE SERGIPE,IFS,SE
INSTITUTO FEDERAL DO ACRE,IFAC,AC
INSTITUTO FEDERAL DO AMAPÁ,Ifap,AP
INSTITUTO FEDERAL DO AMAZONAS,Ifam,AM
INSTITUTO FEDERAL DO CEARÁ,Ifce,CE
INSTITUTO FEDERAL DO ESPÍRITO SANTO,IFES,ES
INSTITUTO FEDERAL DO MARANHÃO,IFMA,MA
INSTITUTO FEDERAL DO MATO GROSSO,IFMT,MT
INSTITUTO FEDERAL DO NORTE DE MINAS,IFNM,MG
INSTITUTO FEDERAL DO PARÁ,IFPA,PA
INSTITUTO FEDERAL DO PIAUÍ,IFPI,PI
INSTITUTO FEDERAL DO RIO DE JANEIRO,IFRJ,RJ
INSTITUTO FEDERAL DO RIO GRANDE DO NORTE,IFRN,RN
INSTITUTO FEDERAL DO RIO GRANDE DO SUL,IFRS,RS
INSTITUTO FEDERAL DO SERTÃO PERNAMBUCANO,IFSertãoPE,PE
INSTITUTO FEDERAL DO SUDESTE DE MINAS,IFSM,MG
INSTITUTO FEDERAL DO SUL DE MINAS,IFSUM,MG
INSTITUTO FEDERAL DO TOCANTINS,IFTO,TO
INSTITUTO FEDERAL DO TRIÂNGULO MINEIRO,IFTM,MG
INSTITUTO FEDERAL FARROUPILHA,IFFarroupilha,RS
INSTITUTO FEDERAL FLUMINENSE,IFF,RJ
INSTITUTO FEDERAL GOIANO,IF Goiano,GO
INSTITUTO FLORENCE DE ENSINO SUPERIOR,IFES,MA
INSTITUTO INFNET RIO DE JANEIRO,INFNET,RJ
INSTITUTO INFNET,INFNET,RJ
INSTITUTO ITAPETININGANO DE ENSINO SUPERIOR,IIES,SP
INSTITUTO JORDÃO DE ARRUDA,INSJAR,GO
INSTITUTO LUTERANO DE ENSINO SUPERIOR DE PORTO VELHO,ILES/ULBRA,RO
INSTITUTO MANCHESTER PAULISTA DE ENSINO SUPERIOR,IMAPES,SP
INSTITUTO MATONENSE MUNICIPAL DE ENSINO SUPERIOR,IMMES,SP
INSTITUTO MAUÁ DE TECNOLOGIA,IMT,SP
INSTITUTO MAUÁ DE TECNOLOGIA,IMT,SP
INSTITUTO METODISTA BENNETT,BENNETT,RJ
INSTITUTO METROPOLITANO DE ENSINO SUPERIOR,IMES,MG
INSTITUTO MILITAR DE ENGENHARIA,IME,RJ
INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE ASSIS,IMESA,SP
INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE BEBEDOURO VICTÓRIO CARDASSI,IMESB,SP
INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE CATANDUVA,IMES Catanduva,SP
INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE SÃO MANUEL,IMESSM,SP
INSTITUTO NACIONAL DE EDUCAÇÃO DE SURDOS,INES,RJ
INSTITUTO NACIONAL DE ENSINO SUPERIOR E PÓS-GRADUAÇÃO PADRE GERVÁSIO,INAPÓS,MG
INSTITUTO NACIONAL DE TELECOMUNICAÇÕES,INATEL,MG
INSTITUTO PARAIBANO DE ENSINO RENOVADO,INPER,PB
INSTITUTO PAULISTA DE ENSINO,FIPEN,SP
INSTITUTO PERNAMBUCANO DE ENSINO SUPERIOR,IPESU,PE
INSTITUTO PERNAMBUCO DE ENSINO E CULTURA,IPEC,PE
INSTITUTO SALESIANO DE FILOSOFIA,INSAF,PE
INSTITUTO SANTO TOMÁS DE AQUINO,ISTA,MG
INSTITUTO SUPERIOR DE CIÊNCIAS APLICADAS - ISCA,ISCA,SP
INSTITUTO SUPERIOR DE CIÊNCIAS HUMANAS E SOCIAIS ANÍSIO TEIXEIRA,ISAT,RJ
INSTITUTO SUPERIOR DE EDUCAÇÃO ALBERT EINSTEIN,ISALBE,DF
INSTITUTO SUPERIOR DE EDUCAÇÃO ALMEIDA RODRIGUES,ISEAR,GO
INSTITUTO SUPERIOR DE EDUCAÇÃO ALVORADA PLUS,ISEAP,SP
INSTITUTO SUPERIOR DE EDUCAÇÃO ANCHIETA,ISEA,PE
INSTITUTO SUPERIOR DE EDUCAÇÃO ANTONINO FREIRE,ISEAF,PI
INSTITUTO SUPERIOR DE EDUCAÇÃO DE CAMPOS GERAIS,ISEC,MG
INSTITUTO SUPERIOR DE EDUCAÇÃO DE FLORESTA,ISEF,PE
INSTITUTO SUPERIOR DE EDUCAÇÃO DE GOIANA,ISEG,PE
INSTITUTO SUPERIOR DE EDUCAÇÃO DE PESQUEIRA,ISEP,PE
INSTITUTO SUPERIOR DE EDUCAÇÃO DE SALGUEIRO,ISES,PE
INSTITUTO SUPERIOR DE EDUCAÇÃO DE SÃO PAULO,SINGULARIDADES/ISESP,SP
INSTITUTO SUPERIOR DE EDUCAÇÃO DO CENTRO EDUCACIONAL NOSSA SENHORA AUXILIADORA,ISECENSA,RJ
INSTITUTO SUPERIOR DE EDUCAÇÃO DO MUNICÍPIO DE ITAPERUNA,ISEMI,RJ
INSTITUTO SUPERIOR DE EDUCAÇÃO DO SERTÃO DO PAJEÚ,ISESP,PE
INSTITUTO SUPERIOR DE EDUCAÇÃO DO VALE DO JURUENA,AJES,MT
INSTITUTO SUPERIOR DE EDUCAÇÃO ELVIRA DAYRELL,ISEED,MG
INSTITUTO SUPERIOR DE EDUCAÇÃO FRANCISCANO NOSSA SENHORA DE FÁTIMA,FATIMA,DF
INSTITUTO SUPERIOR DE EDUCAÇÃO ORÍGENES LESSA,ISEOL,SP
INSTITUTO SUPERIOR DE EDUCAÇÃO PAULO MARTINS,ISPAM,DF
INSTITUTO SUPERIOR DE EDUCAÇÃO PROFESSOR ALDO MUYLAERT,ISEPAM,RJ
INSTITUTO SUPERIOR DE EDUCAÇÃO PROFESSORA NAIR FORTES ABU-MERHY,ISEFOR,MG
INSTITUTO SUPERIOR DE EDUCAÇÃO SANTA CRUZ,ISED,PE
INSTITUTO SUPERIOR DE EDUCAÇÃO SÃO JUDAS TADEU,ISESJT,PI
INSTITUTO SUPERIOR DE EDUCAÇÃO UNIÃO DAS AMÉRICAS,UNIAMÉRICA,PR
INSTITUTO SUPERIOR DE EDUCAÇÃO VERDE NORTE,FAVENORTE,MG
INSTITUTO SUPERIOR DE ENSINO E PESQUISA DE ITUIUTABA,ISEPI,MG
INSTITUTO SUPERIOR DE FILOSOFIA BERTHIER,IFIBE,RS
INSTITUTO SUPERIOR DE TECNOLOGIA EM CIÊNCIAS DA COMPUTAÇÃO DE PARACAMBI,ISTParacambi,RJ
INSTITUTO SUPERIOR DE TECNOLOGIA EM CIÊNCIAS DA COMPUTAÇÃO DE PETRÓPOLIS,ISTCCP,RJ
INSTITUTO SUPERIOR DE TECNOLOGIA EM CIÊNCIAS DA COMPUTAÇÃO DO RIO DE JANEIRO,ISTRio,RJ
INSTITUTO SUPERIOR DE TEOLOGIA APLICADA,Ista,CE
INSTITUTO SUPERIOR DO LITORAL DO PARANÁ,ISULPAR,PR
INSTITUTO SUPERIOR E CENTRO EDUCACIONAL LUTERANO - BOM JESUS - IELUSC,BOM JESUS/IELUSC,SC
INSTITUTO SÃO PAULO DE FORMAÇÃO E ESPECIALIZAÇÃO PROFISSIONAL,UniSãopaulo,SP
INSTITUTO TAQUARITINGUENSE DE ENSINO SUPERIOR DR. ARISTIDES DE CARVALHO SCHLOBACH,ITES,SP
INSTITUTO TAUBATÉ DE ENSINO SUPERIOR,I.T.E.S.,SP
