universidade,sigla,estado
FACULDADE BÉTHENCOURT DA SILVA,FABES,RJ
FACULDADE CALAFIORI,CALAFIORI,MG
FACULDADE CAMAQÜENSE DE CIÊNCIAS CONTÁBEIS E ADMINISTRATIVAS,FACCCA,RS
FACULDADE CAMBURY,CAMBURY,GO
FACULDADE CAMPO GRANDE,FCG,MS
FACULDADE CAMPO REAL,CAMPO REAL,PR
FACULDADE CAMPOS ELÍSEOS,FCE,SP
FACULDADE CANDIDO MENDES DE VITÓRIA,FCMV,ES
FACULDADE CAPIVARI,FUCAP,SC
FACULDADE CAPIXABA DA SERRA,MULTIVIX SERRA,ES
FACULDADE CAPIXABA DE NOVA VENÉCIA,MULTIVIX NOVA VENÉCI,ES
FACULDADE CARLOS DRUMMOND DE ANDRADE,FCDA,SP
FACULDADE CASA BRANCA,FACAB,SP
FACULDADE CASA DO ESTUDANTE,FACE,ES
FACULDADE CASTELO BRANCO,FCB,ES
FACULDADE CASTRO ALVES,FCA,BA
FACULDADE CATUAÍ,ICES,PR
FACULDADE CATÓLICA DE ANÁPOLIS,Fac,GO
FACULDADE CATÓLICA DE CIÊNCIAS ECONÔMICAS DA BAHIA,FACCEBA,BA
FACULDADE CATÓLICA DE FORTALEZA,FCF,CE
FACULDADE CATÓLICA DE POUSO ALEGRE,FACAPA,MG
FACULDADE CATÓLICA DE RONDONIA,FCR,RO
FACULDADE CATÓLICA DE UBERLÂNDIA,FCU,MG
FACULDADE CATÓLICA DO CEARÁ,FCC,CE
FACULDADE CATÓLICA DO TOCANTINS,FACTO,TO
FACULDADE CATÓLICA DOM ORIONE,FACDO,TO
FACULDADE CATÓLICA RAINHA DA PAZ DE ARAPUTANGA,FCARP,MT
FACULDADE CATÓLICA RAINHA DO SERTÃO,FCRS,CE
FACULDADE CATÓLICA SANTA TERESINHA,FCST,RN
FACULDADE CCAA,FAC CCAA,RJ
FACULDADE CECAP DO LAGO NORTE,CECAP,DF
FACULDADE CENECISTA DE BENTO GONÇALVES,FACEBG,RS
FACULDADE CENECISTA DE CAMPO LARGO,FACECLA,PR
FACULDADE CENECISTA DE ITABORAÍ,FACNEC,RJ
FACULDADE CENECISTA DE JOINVILLE - FACE,FCJ,SC
FACULDADE CENECISTA DE NOVA PETRÓPOLIS,FACENP,RS
FACULDADE CENECISTA DE OSÓRIO,FACOS,RS
FACULDADE CENECISTA DE RIO DAS OSTRAS,FCRO,RJ
FACULDADE CENECISTA DE RONDONÓPOLIS,FACER,MT
FACULDADE CENECISTA DE SETE LAGOAS,FCSL,MG
FACULDADE CENECISTA DE SINOP,FACENOP,MT
FACULDADE CENECISTA DE VARGINHA,FACECA,MG
FACULDADE CENECISTA DE VILA VELHA,FACEVV,ES
FACULDADE CENECISTA ILHA DO GOVERNADOR,FACIG,RJ
FACULDADE CENECISTA NOSSA SENHORA DOS ANJOS,FACENSA,RS
FACULDADE CENTRAL DE CRISTALINA,FACEC,GO
