0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,Country User/Site,Name,A,B,C,D,E,F,G,H,I,J,K,L,M,Total
20,teambrbr23/BRA,[UECE] VDC,,,1/75,,,2/58,1/275,1/5,1/137,1/173,,,,6 (743)
35,332191/MEX,[ESCOM-IPN] Rocky IV - ESCOM IPN,,3/249,2/62,,1/129,1/-,2/-,1/7,1/154,1/88,,,,6 (749)
6,332191/MEX,[ESCOM-IPN] Rocky IV - ESCOM IPN,,3/249,2/62,,1/129,1/-,2/-,1/7,1/154,1/88,,,,6 (749)
6,332191/MEX,[ESCOM-IPN] Rocky IV - ESCOM IPN,,3/249,2/62,,1/129,1/-,2/-,1/7,1/154,1/88,,,,6 (749)
36,team04/CUB,[UCLV] KFP,,,2/53,,1/154,2/131,,1/5,2/126,2/207,,,,6 (756)
4,team04/CUB,[UCLV] KFP,,,2/53,,1/154,2/131,,1/5,2/126,2/207,,,,6 (756)
3,team04/CUB,[UCLV] KFP,,,2/53,,1/154,2/131,,1/5,2/126,2/207,,,,6 (756)
37,team01/CUB,[UO-SAM] Limitless,,3/265,3/55,,1/180,1/82,2/-,1/32,2/138,,,,,6 (852)
5,team01/CUB,[UO-SAM] Limitless,,3/265,3/55,,1/180,1/82,2/-,1/32,2/138,,,,,6 (852)
4,team01/CUB,[UO-SAM] Limitless,,3/265,3/55,,1/180,1/82,2/-,1/32,2/138,,,,,6 (852)
38,team25/CUB,[UH] UH++,,,1/69,,1/116,3/162,,1/17,3/227,1/218,,,,6 (889)
6,team25/CUB,[UH] UH++,,,1/69,,1/116,3/162,,1/17,3/227,1/218,,,,6 (889)
5,team25/CUB,[UH] UH++,,,1/69,,1/116,3/162,,1/17,3/227,1/218,,,,6 (889)
39,BOG24/COL,[UN] UNschwifty,,1/-,1/25,,4/76,4/206,2/180,1/8,4/227,,,,,6 (922)
1,BOG24/COL,[UN] UNschwifty,,1/-,1/25,,4/76,4/206,2/180,1/8,4/227,,,,,6 (922)
1,BOG24/COL,[UN] UNschwifty,,1/-,1/25,,4/76,4/206,2/180,1/8,4/227,,,,,6 (922)
40,teambrbr31/BRA,[UNICAMP] Six Balls,,,1/117,,1/77,2/228,,1/11,2/173,3/297,,,,6 (983)
21,teambrbr31/BRA,[UNICAMP] Six Balls,,,1/117,,1/77,2/228,,1/11,2/173,3/297,,,,6 (983)
41,MAN38/COL,[UTP] No name available.,,,1/50,,1/29,2/184,,1/10,1/103,4/-,,,,5 (396)
2,MAN38/COL,[UTP] No name available.,,,1/50,,1/29,2/184,,1/10,1/103,4/-,,,,5 (396)
2,MAN38/COL,[UTP] No name available.,,,1/50,,1/29,2/184,,1/10,1/103,4/-,,,,5 (396)
42,team11/CUB,[UH] UH Class_Zero,,1/-,1/48,,1/65,2/171,1/-,1/4,1/155,1/-,,,,5 (463)
7,team11/CUB,[UH] UH Class_Zero,,1/-,1/48,,1/65,2/171,1/-,1/4,1/155,1/-,,,,5 (463)
6,team11/CUB,[UH] UH Class_Zero,,1/-,1/48,,1/65,2/171,1/-,1/4,1/155,1/-,,,,5 (463)
43,team94/CUB,[IPVCE-VIL] IPVCE_LENIN,,,1/25,,3/211,2/66,,1/31,1/89,3/-,,,,5 (482)
8,team94/CUB,[IPVCE-VIL] IPVCE_LENIN,,,1/25,,3/211,2/66,,1/31,1/89,3/-,,,,5 (482)
7,team94/CUB,[IPVCE-VIL] IPVCE_LENIN,,,1/25,,3/211,2/66,,1/31,1/89,3/-,,,,5 (482)
44,teambrbr66/BRA,[INATEL] stormtroop3rs [C],,1/-,2/38,,1/60,4/136,,1/6,2/143,,,,,5 (483)
22,teambrbr66/BRA,[INATEL] stormtroop3rs [C],,1/-,2/38,,1/60,4/136,,1/6,2/143,,,,,5 (483)
45,332194/MEX,ManiAC - ESCOM IPN,,,1/22,,2/60,3/194,,2/13,2/103,2/-,,,,5 (492)
7,332194/MEX,ManiAC - ESCOM IPN,,,1/22,,2/60,3/194,,2/13,2/103,2/-,,,,5 (492)
7,332194/MEX,ManiAC - ESCOM IPN,,,1/22,,2/60,3/194,,2/13,2/103,2/-,,,,5 (492)
46,teambrbr32/BRA,[URI - Erechim] URI Luminatti,,,2/32,,1/42,4/134,,1/4,2/207,4/-,,,,5 (519)
